# of variables,1,Sweep points,121,Parametric points,1,,,,,
Vd,Vg,Vs,Id,Ig,Is,time_s,Id_dens,Ig_dens,G_on,R_on
0.000000E+0,6.000000E+0,0.000000E+0,1.452992E-6,8.776048E-9,-1.464071E-6,1.513605E+0,2.421653E-5,1.462675E-7,1.391639E-2,4.311464E+0
2.500000E-2,6.000000E+0,0.000000E+0,3.493626E-4,8.620751E-9,-3.494218E-4,1.823004E+0,5.822711E-3,1.436792E-7,1.391639E-2,4.311464E+0
5.000000E-2,6.000000E+0,0.000000E+0,7.010308E-4,8.522808E-9,-7.011067E-4,1.935759E+0,1.168385E-2,1.420468E-7,1.406673E-2,4.265385E+0
7.500000E-2,6.000000E+0,0.000000E+0,1.053628E-3,8.489109E-9,-1.054729E-3,2.146013E+0,1.756046E-2,1.414851E-7,1.410388E-2,4.254149E+0
1.000000E-1,6.000000E+0,0.000000E+0,1.405734E-3,8.484329E-9,-1.406844E-3,2.257203E+0,2.342890E-2,1.414055E-7,1.408424E-2,4.260080E+0
1.250000E-1,6.000000E+0,0.000000E+0,1.757902E-3,8.464123E-9,-1.759031E-3,2.368946E+0,2.929836E-2,1.410687E-7,1.408672E-2,4.259329E+0
1.500000E-1,6.000000E+0,0.000000E+0,2.110057E-3,8.447602E-9,-2.111204E-3,2.479016E+0,3.516761E-2,1.407934E-7,1.408620E-2,4.259489E+0
1.750000E-1,6.000000E+0,0.000000E+0,2.457346E-3,8.433899E-9,-2.458578E-3,2.595704E+0,4.095576E-2,1.405650E-7,1.389155E-2,4.319172E+0
2.000000E-1,6.000000E+0,0.000000E+0,2.808749E-3,8.417214E-9,-2.809954E-3,2.706664E+0,4.681248E-2,1.402869E-7,1.405612E-2,4.268604E+0
2.250000E-1,6.000000E+0,0.000000E+0,3.160356E-3,8.405106E-9,-3.161669E-3,2.818947E+0,5.267261E-2,1.400851E-7,1.406431E-2,4.266117E+0
2.500000E-1,6.000000E+0,0.000000E+0,3.511661E-3,8.392577E-9,-3.512999E-3,2.930089E+0,5.852769E-2,1.398763E-7,1.405220E-2,4.269795E+0
2.750000E-1,6.000000E+0,0.000000E+0,3.862296E-3,8.380402E-9,-3.863629E-3,3.047839E+0,6.437160E-2,1.396734E-7,1.402540E-2,4.277952E+0
3.000000E-1,6.000000E+0,0.000000E+0,4.213050E-3,8.371059E-9,-4.214388E-3,3.167523E+0,7.021749E-2,1.395177E-7,1.403013E-2,4.276510E+0
3.250000E-1,6.000000E+0,0.000000E+0,4.559504E-3,8.361530E-9,-4.560844E-3,3.281348E+0,7.599173E-2,1.393588E-7,1.385817E-2,4.329575E+0
3.500000E-1,6.000000E+0,0.000000E+0,4.910245E-3,8.350263E-9,-4.911598E-3,3.396441E+0,8.183741E-2,1.391710E-7,1.402963E-2,4.276663E+0
3.750000E-1,6.000000E+0,0.000000E+0,5.260055E-3,8.341411E-9,-5.261432E-3,3.509179E+0,8.766758E-2,1.390235E-7,1.399241E-2,4.288038E+0
4.000000E-1,6.000000E+0,0.000000E+0,5.609280E-3,8.334639E-9,-5.610690E-3,3.622432E+0,9.348800E-2,1.389106E-7,1.396900E-2,4.295225E+0
4.250000E-1,6.000000E+0,0.000000E+0,5.959027E-3,8.325559E-9,-5.960435E-3,3.742149E+0,9.931711E-2,1.387593E-7,1.398986E-2,4.288820E+0
4.500000E-1,6.000000E+0,0.000000E+0,6.307711E-3,8.321532E-9,-6.309155E-3,3.854960E+0,1.051285E-1,1.386922E-7,1.394739E-2,4.301879E+0
4.750000E-1,6.000000E+0,0.000000E+0,6.651075E-3,8.315692E-9,-6.652569E-3,3.984160E+0,1.108512E-1,1.385949E-7,1.373453E-2,4.368551E+0
5.000000E-1,6.000000E+0,0.000000E+0,7.000138E-3,8.313495E-9,-7.001645E-3,4.095831E+0,1.166690E-1,1.385582E-7,1.396252E-2,4.297219E+0
5.250000E-1,6.000000E+0,0.000000E+0,7.346923E-3,8.310310E-9,-7.348449E-3,4.220839E+0,1.224487E-1,1.385052E-7,1.387142E-2,4.325441E+0
5.500000E-1,6.000000E+0,0.000000E+0,7.694131E-3,8.306290E-9,-7.695722E-3,4.333681E+0,1.282355E-1,1.384382E-7,1.388831E-2,4.320180E+0
5.750000E-1,6.000000E+0,0.000000E+0,8.039455E-3,8.300624E-9,-8.041060E-3,4.444368E+0,1.339909E-1,1.383437E-7,1.381297E-2,4.343745E+0
6.000000E-1,6.000000E+0,0.000000E+0,8.384506E-3,8.297099E-9,-8.386145E-3,4.555838E+0,1.397418E-1,1.382850E-7,1.380205E-2,4.347180E+0
6.250000E-1,6.000000E+0,0.000000E+0,8.725123E-3,8.296081E-9,-8.726772E-3,4.667392E+0,1.454187E-1,1.382680E-7,1.362469E-2,4.403770E+0
6.500000E-1,6.000000E+0,0.000000E+0,9.069895E-3,8.294961E-9,-9.071585E-3,4.786294E+0,1.511649E-1,1.382494E-7,1.379088E-2,4.350703E+0
6.750000E-1,6.000000E+0,0.000000E+0,9.413741E-3,8.294386E-9,-9.415419E-3,4.898105E+0,1.568957E-1,1.382398E-7,1.375381E-2,4.362428E+0
7.000000E-1,6.000000E+0,0.000000E+0,9.756192E-3,8.294334E-9,-9.757855E-3,5.013875E+0,1.626032E-1,1.382389E-7,1.369804E-2,4.380188E+0
7.250000E-1,6.000000E+0,0.000000E+0,1.009725E-2,8.295672E-9,-1.010056E-2,5.230941E+0,1.682876E-1,1.382612E-7,1.364246E-2,4.398034E+0
7.500000E-1,6.000000E+0,0.000000E+0,1.043814E-2,8.305551E-9,-1.044154E-2,5.343149E+0,1.739691E-1,1.384258E-7,1.363564E-2,4.400233E+0
7.750000E-1,6.000000E+0,0.000000E+0,1.077430E-2,8.308705E-9,-1.077774E-2,5.456170E+0,1.795717E-1,1.384784E-7,1.344632E-2,4.462186E+0
8.000000E-1,6.000000E+0,0.000000E+0,1.111425E-2,8.315024E-9,-1.111771E-2,5.569201E+0,1.852375E-1,1.385837E-7,1.359798E-2,4.412420E+0
8.250000E-1,6.000000E+0,0.000000E+0,1.145273E-2,8.318564E-9,-1.145624E-2,5.680980E+0,1.908789E-1,1.386427E-7,1.353931E-2,4.431541E+0
8.500000E-1,6.000000E+0,0.000000E+0,1.178954E-2,8.323985E-9,-1.179305E-2,5.792102E+0,1.964923E-1,1.387331E-7,1.347210E-2,4.453648E+0
8.750000E-1,6.000000E+0,0.000000E+0,1.212689E-2,8.330375E-9,-1.213034E-2,5.901784E+0,2.021148E-1,1.388396E-7,1.349401E-2,4.446418E+0
9.000000E-1,6.000000E+0,0.000000E+0,1.246214E-2,8.336682E-9,-1.246566E-2,6.016641E+0,2.077023E-1,1.389447E-7,1.341008E-2,4.474247E+0
