# of variables,1,Sweep points,121,Parametric points,1,,,,,
Vd,Vg,Vs,Id,Ig,Is,time_s,Id_dens,Ig_dens,G_on,R_on
0.000000E+0,6.000000E+0,0.000000E+0,1.612865E-6,8.913333E-7,-1.953174E-6,1.469429E+0,2.688108E-5,1.485556E-5,1.196282E-2,5.015539E+0
2.500000E-2,6.000000E+0,0.000000E+0,3.006834E-4,1.246114E-6,-3.021194E-4,1.779578E+0,5.011390E-3,2.076856E-5,1.196282E-2,5.015539E+0
5.000000E-2,6.000000E+0,0.000000E+0,6.035126E-4,1.552585E-6,-6.051261E-4,1.892246E+0,1.005854E-2,2.587642E-5,1.211317E-2,4.953288E+0
7.500000E-2,6.000000E+0,0.000000E+0,9.065030E-4,1.699058E-6,-9.082752E-4,2.003066E+0,1.510838E-2,2.831763E-5,1.211962E-2,4.950651E+0
1.000000E-1,6.000000E+0,0.000000E+0,1.209813E-3,1.840115E-6,-1.212982E-3,2.213575E+0,2.016355E-2,3.066858E-5,1.213241E-2,4.945431E+0
1.250000E-1,6.000000E+0,0.000000E+0,1.513065E-3,2.108451E-6,-1.516370E-3,2.324276E+0,2.521775E-2,3.514085E-5,1.213007E-2,4.946385E+0
1.500000E-1,6.000000E+0,0.000000E+0,1.816057E-3,2.240653E-6,-1.819489E-3,2.435976E+0,3.026762E-2,3.734422E-5,1.211967E-2,4.950629E+0
1.750000E-1,6.000000E+0,0.000000E+0,2.115003E-3,2.349591E-6,-2.118559E-3,2.546679E+0,3.525005E-2,3.915985E-5,1.195784E-2,5.017630E+0
2.000000E-1,6.000000E+0,0.000000E+0,2.417728E-3,2.467209E-6,-2.421373E-3,2.656384E+0,4.029546E-2,4.112015E-5,1.210899E-2,4.954996E+0
2.250000E-1,6.000000E+0,0.000000E+0,2.720079E-3,2.581117E-6,-2.723918E-3,2.767136E+0,4.533466E-2,4.301862E-5,1.209407E-2,4.961109E+0
2.500000E-1,6.000000E+0,0.000000E+0,3.021870E-3,2.688666E-6,-3.025854E-3,2.877848E+0,5.036449E-2,4.481111E-5,1.207161E-2,4.970340E+0
2.750000E-1,6.000000E+0,0.000000E+0,3.323908E-3,2.789439E-6,-3.328016E-3,2.988936E+0,5.539846E-2,4.649065E-5,1.208153E-2,4.966260E+0
3.000000E-1,6.000000E+0,0.000000E+0,3.625363E-3,2.869044E-6,-3.629551E-3,3.100689E+0,6.042272E-2,4.781741E-5,1.205822E-2,4.975861E+0
3.250000E-1,6.000000E+0,0.000000E+0,3.922967E-3,2.958982E-6,-3.927264E-3,3.212389E+0,6.538278E-2,4.931636E-5,1.190415E-2,5.040261E+0
3.500000E-1,6.000000E+0,0.000000E+0,4.223497E-3,3.025078E-6,-4.227926E-3,3.323090E+0,7.039161E-2,5.041796E-5,1.202120E-2,4.991184E+0
3.750000E-1,6.000000E+0,0.000000E+0,4.523629E-3,3.079525E-6,-4.528067E-3,3.433814E+0,7.539381E-2,5.132542E-5,1.200529E-2,4.997798E+0
4.000000E-1,6.000000E+0,0.000000E+0,4.822969E-3,3.130146E-6,-4.827437E-3,3.543553E+0,8.038282E-2,5.216910E-5,1.197362E-2,5.011015E+0
4.250000E-1,6.000000E+0,0.000000E+0,5.121811E-3,3.180584E-6,-5.126311E-3,3.654284E+0,8.536352E-2,5.300973E-5,1.195367E-2,5.019377E+0
4.500000E-1,6.000000E+0,0.000000E+0,5.420322E-3,3.222059E-6,-5.424879E-3,3.763961E+0,9.033870E-2,5.370098E-5,1.194043E-2,5.024944E+0
4.750000E-1,6.000000E+0,0.000000E+0,5.714667E-3,3.262745E-6,-5.719297E-3,3.874662E+0,9.524444E-2,5.437909E-5,1.177378E-2,5.096069E+0
5.000000E-1,6.000000E+0,0.000000E+0,6.012602E-3,3.307506E-6,-6.017339E-3,3.985394E+0,1.002100E-1,5.512510E-5,1.191741E-2,5.034652E+0
5.250000E-1,6.000000E+0,0.000000E+0,6.309168E-3,3.329637E-6,-6.313935E-3,4.096067E+0,1.051528E-1,5.549395E-5,1.186267E-2,5.057885E+0
5.500000E-1,6.000000E+0,0.000000E+0,6.605436E-3,3.354312E-6,-6.610217E-3,4.205772E+0,1.100906E-1,5.590520E-5,1.185069E-2,5.062997E+0
5.750000E-1,6.000000E+0,0.000000E+0,6.900794E-3,3.377001E-6,-6.905656E-3,4.316533E+0,1.150132E-1,5.628335E-5,1.181435E-2,5.078570E+0
6.000000E-1,6.000000E+0,0.000000E+0,7.195747E-3,3.368161E-6,-7.200597E-3,4.428207E+0,1.199291E-1,5.613601E-5,1.179809E-2,5.085570E+0
6.250000E-1,6.000000E+0,0.000000E+0,7.486062E-3,3.405905E-6,-7.490989E-3,4.537942E+0,1.247677E-1,5.676508E-5,1.161261E-2,5.166799E+0
6.500000E-1,6.000000E+0,0.000000E+0,7.780061E-3,3.437357E-6,-7.785048E-3,4.648645E+0,1.296677E-1,5.728928E-5,1.175996E-2,5.102059E+0
6.750000E-1,6.000000E+0,0.000000E+0,8.072563E-3,3.467127E-6,-8.077609E-3,4.759354E+0,1.345427E-1,5.778545E-5,1.170011E-2,5.128156E+0
7.000000E-1,6.000000E+0,0.000000E+0,8.363347E-3,3.473451E-6,-8.368400E-3,4.869147E+0,1.393891E-1,5.789085E-5,1.163132E-2,5.158484E+0
7.250000E-1,6.000000E+0,0.000000E+0,8.654898E-3,3.481181E-6,-8.660006E-3,4.980845E+0,1.442483E-1,5.801968E-5,1.166206E-2,5.144889E+0
7.500000E-1,6.000000E+0,0.000000E+0,8.945066E-3,3.505614E-6,-8.950225E-3,5.090552E+0,1.490844E-1,5.842689E-5,1.160674E-2,5.169411E+0
7.750000E-1,6.000000E+0,0.000000E+0,9.230973E-3,3.484486E-6,-9.236074E-3,5.201284E+0,1.538496E-1,5.807477E-5,1.143627E-2,5.246466E+0
8.000000E-1,6.000000E+0,0.000000E+0,9.518872E-3,3.493078E-6,-9.524015E-3,5.310989E+0,1.586479E-1,5.821796E-5,1.151595E-2,5.210164E+0
8.250000E-1,6.000000E+0,0.000000E+0,9.806681E-3,3.484230E-6,-9.811853E-3,5.423751E+0,1.634447E-1,5.807050E-5,1.151238E-2,5.211782E+0
8.500000E-1,6.000000E+0,0.000000E+0,1.009157E-2,3.485442E-6,-1.009845E-2,5.635460E+0,1.681928E-1,5.809070E-5,1.139544E-2,5.265264E+0
8.750000E-1,6.000000E+0,0.000000E+0,1.037678E-2,3.496362E-6,-1.038371E-2,5.746134E+0,1.729463E-1,5.827270E-5,1.140833E-2,5.259315E+0
9.000000E-1,6.000000E+0,0.000000E+0,1.066195E-2,3.493440E-6,-1.066877E-2,5.855839E+0,1.776991E-1,5.822400E-5,1.140688E-2,5.259985E+0
9.250000E-1,6.000000E+0,0.000000E+0,1.094099E-2,3.467618E-6,-1.094791E-2,5.966699E+0,1.823499E-1,5.779364E-5,1.116183E-2,5.375464E+0
9.500000E-1,6.000000E+0,0.000000E+0,1.122309E-2,3.465023E-6,-1.123003E-2,6.078399E+0,1.870515E-1,5.775038E-5,1.128387E-2,5.317326E+0
9.750000E-1,6.000000E+0,0.000000E+0,1.150430E-2,3.434187E-6,-1.151117E-2,6.189174E+0,1.917384E-1,5.723645E-5,1.124859E-2,5.334003E+0
1.000000E+0,6.000000E+0,0.000000E+0,1.178422E-2,3.425330E-6,-1.179110E-2,6.301925E+0,1.964037E-1,5.708883E-5,1.119662E-2,5.358760E+0
1.025000E+0,6.000000E+0,0.000000E+0,1.206336E-2,3.396932E-6,-1.207024E-2,6.413643E+0,2.010560E-1,5.661553E-5,1.116563E-2,5.373635E+0
1.050000E+0,6.000000E+0,0.000000E+0,1.234070E-2,3.391918E-6,-1.234760E-2,6.524344E+0,2.056784E-1,5.653197E-5,1.109362E-2,5.408516E+0
1.075000E+0,6.000000E+0,0.000000E+0,1.261686E-2,3.407742E-6,-1.262375E-2,6.636108E+0,2.102810E-1,5.679569E-5,1.104638E-2,5.431644E+0
1.100000E+0,6.000000E+0,0.000000E+0,1.288804E-2,3.393863E-6,-1.289495E-2,6.748774E+0,2.148006E-1,5.656439E-5,1.084711E-2,5.531425E+0
1.125000E+0,6.000000E+0,0.000000E+0,1.316241E-2,3.388809E-6,-1.316932E-2,6.859475E+0,2.193735E-1,5.648015E-5,1.097489E-2,5.467024E+0
1.150000E+0,6.000000E+0,0.000000E+0,1.343474E-2,3.380822E-6,-1.344171E-2,6.969184E+0,2.239124E-1,5.634703E-5,1.089334E-2,5.507950E+0
1.175000E+0,6.000000E+0,0.000000E+0,1.370606E-2,3.363242E-6,-1.371297E-2,7.079001E+0,2.284344E-1,5.605403E-5,1.085281E-2,5.528520E+0
1.200000E+0,6.000000E+0,0.000000E+0,1.397722E-2,3.337841E-6,-1.398413E-2,7.199173E+0,2.329536E-1,5.563068E-5,1.084611E-2,5.531938E+0
1.225000E+0,6.000000E+0,0.000000E+0,1.424606E-2,3.330139E-6,-1.425300E-2,7.310259E+0,2.374343E-1,5.550231E-5,1.075365E-2,5.579503E+0
1.250000E+0,6.000000E+0,0.000000E+0,1.450971E-2,3.325705E-6,-1.451662E-2,7.421989E+0,2.418286E-1,5.542842E-5,1.054622E-2,5.689241E+0
1.275000E+0,6.000000E+0,0.000000E+0,1.477545E-2,3.299299E-6,-1.478232E-2,7.534705E+0,2.462576E-1,5.498832E-5,1.062963E-2,5.644598E+0
1.300000E+0,6.000000E+0,0.000000E+0,1.504092E-2,3.265730E-6,-1.504784E-2,7.645442E+0,2.506820E-1,5.442884E-5,1.061868E-2,5.650420E+0
1.325000E+0,6.000000E+0,0.000000E+0,1.530342E-2,3.246016E-6,-1.531037E-2,7.756144E+0,2.550570E-1,5.410027E-5,1.049995E-2,5.714311E+0
1.350000E+0,6.000000E+0,0.000000E+0,1.556621E-2,3.227042E-6,-1.557313E-2,7.866994E+0,2.594368E-1,5.378403E-5,1.051143E-2,5.708073E+0
1.375000E+0,6.000000E+0,0.000000E+0,1.582598E-2,3.200442E-6,-1.583289E-2,7.977741E+0,2.637663E-1,5.334069E-5,1.039077E-2,5.774358E+0
1.400000E+0,6.000000E+0,0.000000E+0,1.608291E-2,3.172527E-6,-1.608979E-2,8.090437E+0,2.680485E-1,5.287546E-5,1.027726E-2,5.838134E+0
1.425000E+0,6.000000E+0,0.000000E+0,1.634042E-2,3.161859E-6,-1.634738E-2,8.201178E+0,2.723404E-1,5.269766E-5,1.030065E-2,5.824874E+0
1.450000E+0,6.000000E+0,0.000000E+0,1.659697E-2,3.143605E-6,-1.660394E-2,8.312846E+0,2.766162E-1,5.239342E-5,1.026198E-2,5.846823E+0
1.475000E+0,6.000000E+0,0.000000E+0,1.685238E-2,3.102345E-6,-1.685922E-2,8.423550E+0,2.808730E-1,5.170576E-5,1.021624E-2,5.873004E+0
1.500000E+0,6.000000E+0,0.000000E+0,1.710724E-2,3.071807E-6,-1.711419E-2,8.534250E+0,2.851206E-1,5.119679E-5,1.019433E-2,5.885624E+0
1.525000E+0,6.000000E+0,0.000000E+0,1.735967E-2,3.047769E-6,-1.736661E-2,8.644953E+0,2.893279E-1,5.079615E-5,1.009747E-2,5.942080E+0
1.550000E+0,6.000000E+0,0.000000E+0,1.760712E-2,3.029650E-6,-1.761407E-2,8.754766E+0,2.934520E-1,5.049417E-5,9.897724E-3,6.062000E+0
1.575000E+0,6.000000E+0,0.000000E+0,1.785678E-2,3.007016E-6,-1.786368E-2,8.866501E+0,2.976129E-1,5.011694E-5,9.986386E-3,6.008180E+0
1.600000E+0,6.000000E+0,0.000000E+0,1.810529E-2,2.975646E-6,-1.811218E-2,8.976289E+0,3.017549E-1,4.959410E-5,9.940639E-3,6.035829E+0
1.625000E+0,6.000000E+0,0.000000E+0,1.835324E-2,2.957978E-6,-1.836015E-2,9.088987E+0,3.058873E-1,4.929964E-5,9.917766E-3,6.049750E+0
1.650000E+0,6.000000E+0,0.000000E+0,1.859956E-2,2.923889E-6,-1.860642E-2,9.199792E+0,3.099926E-1,4.873148E-5,9.852871E-3,6.089595E+0
1.675000E+0,6.000000E+0,0.000000E+0,1.884281E-2,2.894850E-6,-1.884967E-2,9.311524E+0,3.140468E-1,4.824750E-5,9.729862E-3,6.166583E+0
1.700000E+0,6.000000E+0,0.000000E+0,1.908336E-2,2.857435E-6,-1.909020E-2,9.422227E+0,3.180559E-1,4.762391E-5,9.622052E-3,6.235676E+0
1.725000E+0,6.000000E+0,0.000000E+0,1.932354E-2,2.815559E-6,-1.933040E-2,9.533993E+0,3.220590E-1,4.692598E-5,9.607375E-3,6.245202E+0
