# of variables,1,Sweep points,201,Parametric points,1,,,,,
Vd,Vg,Vs,Id,Ig,Is,time_s,Id_dens,Ig_dens,G_on,R_on
0.000000E+0,7.000000E+0,0.000000E+0,1.974888E-5,4.064356E-9,-1.975926E-5,2.428829E+0,2.194320E-5,4.515951E-9,2.195691E-2,4.098938E+1
5.000000E-2,7.000000E+0,0.000000E+0,1.117594E-3,4.054867E-9,-1.118240E-3,1.973174E+0,1.241771E-3,4.505408E-9,2.195691E-2,4.098938E+1
1.000000E-1,7.000000E+0,0.000000E+0,2.224059E-3,4.151505E-9,-2.224683E-3,2.087206E+0,2.471177E-3,4.612784E-9,2.212930E-2,4.067007E+1
1.500000E-1,7.000000E+0,0.000000E+0,3.323069E-3,4.038260E-9,-3.323724E-3,2.200447E+0,3.692298E-3,4.486955E-9,2.198019E-2,4.094596E+1
2.000000E-1,7.000000E+0,0.000000E+0,4.409510E-3,3.975535E-9,-4.410212E-3,2.312834E+0,4.899455E-3,4.417262E-9,2.172882E-2,4.141964E+1
2.500000E-1,7.000000E+0,0.000000E+0,5.515350E-3,3.850516E-9,-5.516071E-3,2.425808E+0,6.128167E-3,4.278351E-9,2.211681E-2,4.069304E+1
3.000000E-1,7.000000E+0,0.000000E+0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.500000E-1,7.000000E+0,0.000000E+0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.000000E-1,7.000000E+0,0.000000E+0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.500000E-1,7.000000E+0,0.000000E+0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5.000000E-1,7.000000E+0,0.000000E+0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5.500000E-1,7.000000E+0,0.000000E+0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.000000E-1,7.000000E+0,0.000000E+0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.500000E-1,7.000000E+0,0.000000E+0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.000000E-1,7.000000E+0,0.000000E+0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.500000E-1,7.000000E+0,0.000000E+0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.000000E-1,7.000000E+0,0.000000E+0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.500000E-1,7.000000E+0,0.000000E+0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.000000E-1,7.000000E+0,0.000000E+0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.500000E-1,7.000000E+0,0.000000E+0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.000000E+0,7.000000E+0,0.000000E+0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.050000E+0,7.000000E+0,0.000000E+0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.100000E+0,7.000000E+0,0.000000E+0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.150000E+0,7.000000E+0,0.000000E+0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.200000E+0,7.000000E+0,0.000000E+0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.250000E+0,7.000000E+0,0.000000E+0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.300000E+0,7.000000E+0,0.000000E+0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.350000E+0,7.000000E+0,0.000000E+0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.400000E+0,7.000000E+0,0.000000E+0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.450000E+0,7.000000E+0,0.000000E+0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.500000E+0,7.000000E+0,0.000000E+0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.550000E+0,7.000000E+0,0.000000E+0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.600000E+0,7.000000E+0,0.000000E+0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.650000E+0,7.000000E+0,0.000000E+0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.700000E+0,7.000000E+0,0.000000E+0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.750000E+0,7.000000E+0,0.000000E+0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.800000E+0,7.000000E+0,0.000000E+0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.850000E+0,7.000000E+0,0.000000E+0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.900000E+0,7.000000E+0,0.000000E+0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.950000E+0,7.000000E+0,0.000000E+0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.000000E+0,7.000000E+0,0.000000E+0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.050000E+0,7.000000E+0,0.000000E+0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.100000E+0,7.000000E+0,0.000000E+0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
